Date,Category,Department,Project,Actual_Amount,Budget_Amount
2026-01-01,薪資費用,研發部,基礎建設更新,1200000,1200000
2026-01-05,行銷推廣,業務部,春季促銷檔期,450000,400000
2026-01-15,租金支出,行政部,營運維護,200000,200000
2026-01-20,IT軟體授權,研發部,資安升級,150000,100000
2026-02-01,薪資費用,業務部,經常性招募,850000,800000
2026-02-10,差旅費,業務部,新市場開發,120000,150000
2026-02-15,行銷推廣,業務部,品牌大使招募,320000,300000
2026-03-01,薪資費用,研發部,新產品研發,1300000,1250000
2026-03-05,租金支出,行政部,營運維護,200000,200000
2026-03-15,交際費,業務部,關鍵客戶維繫,80000,60000
2026-04-01,行銷推廣,業務部,夏季展覽,600000,500000
2026-04-10,IT設備採購,行政部,筆電全面更新,400000,450000
2026-04-20,薪資費用,研發部,基礎建設更新,1250000,1200000
2026-05-01,行銷推廣,業務部,線上廣告投放,550000,600000
2026-05-15,差旅費,業務部,海外分公司視察,250000,200000
2026-06-01,薪資費用,財務部,年度結算外包,350000,300000
2026-06-10,教育訓練,研發部,AI技能培訓,180000,150000
2026-06-25,租金支出,行政部,營運維護,200000,200000
