Date,Category,Department,Project,Actual_Amount,Budget_Amount,Region,Employee_Count
2026-01-05,薪資費用,研發部,基礎建設更新,1200000,1200000,北區,45
2026-01-08,行銷推廣,業務部,春季促銷檔期,450000,400000,全區,12
2026-01-10,租金支出,行政部,總部辦公室,200000,200000,北區,80
2026-01-15,IT軟體授權,研發部,資安升級計畫,150000,120000,北區,45
2026-01-20,差旅費,業務部,Q1客戶拜訪,80000,100000,全區,12
2026-01-25,教育訓練,人資部,新人培訓Q1,60000,80000,北區,10
2026-02-01,薪資費用,業務部,一般薪資,850000,800000,全區,32
2026-02-05,行銷推廣,業務部,品牌大使招募,320000,300000,全區,12
2026-02-10,差旅費,業務部,新市場開發,120000,150000,南區,12
2026-02-14,租金支出,行政部,總部辦公室,200000,200000,北區,80
2026-02-18,IT設備採購,行政部,伺服器汰換,250000,200000,北區,80
2026-02-22,教育訓練,人資部,主管領導力訓練,90000,80000,北區,10
2026-03-01,薪資費用,研發部,新產品研發,1300000,1250000,北區,45
2026-03-05,租金支出,行政部,總部辦公室,200000,200000,北區,80
2026-03-10,行銷推廣,業務部,春展參展費,380000,350000,全區,12
2026-03-15,交際費,業務部,關鍵客戶維繫,80000,60000,全區,12
2026-03-20,薪資費用,財務部,季度外包,350000,300000,北區,18
2026-03-25,IT軟體授權,研發部,雲端平台訂閱,120000,120000,北區,45
2026-04-01,行銷推廣,業務部,夏季展覽籌備,600000,500000,全區,12
2026-04-05,IT設備採購,行政部,筆電全面更新,400000,450000,北區,80
2026-04-10,薪資費用,研發部,基礎建設更新,1250000,1200000,北區,45
2026-04-15,差旅費,業務部,海外商展出席,180000,150000,全區,12
2026-04-20,教育訓練,研發部,AI技術深化培訓,120000,100000,北區,45
2026-04-25,租金支出,行政部,總部辦公室,200000,200000,北區,80
2026-05-01,薪資費用,業務部,一般薪資,880000,800000,全區,32
2026-05-05,行銷推廣,業務部,線上廣告投放,550000,600000,全區,12
2026-05-10,差旅費,業務部,海外分公司視察,250000,200000,全區,12
2026-05-15,IT軟體授權,研發部,DevOps工具年約,95000,100000,北區,45
2026-05-20,租金支出,行政部,總部辦公室,200000,200000,北區,80
2026-05-25,交際費,業務部,潛在客戶接待,65000,60000,全區,12
2026-06-01,薪資費用,財務部,年度結算外包,380000,300000,北區,18
2026-06-05,教育訓練,研發部,AI技能實戰培訓,180000,150000,北區,45
2026-06-10,租金支出,行政部,總部辦公室,200000,200000,北區,80
2026-06-15,行銷推廣,業務部,年中促銷廣告,520000,500000,全區,12
2026-06-20,差旅費,業務部,東南亞市場考察,290000,250000,南區,12
2026-06-25,IT設備採購,研發部,GPU伺服器擴充,800000,700000,北區,45
2026-07-01,薪資費用,研發部,新產品研發,1350000,1250000,北區,45
2026-07-05,行銷推廣,業務部,下半年品牌活動,450000,400000,全區,12
2026-07-10,租金支出,行政部,總部辦公室,200000,200000,北區,80
2026-07-15,差旅費,業務部,Q3客戶拜訪,120000,120000,全區,12
2026-07-20,IT軟體授權,研發部,安全稽核工具,140000,120000,北區,45
2026-07-25,教育訓練,人資部,跨部門協作工作坊,75000,80000,北區,10
2026-08-01,薪資費用,業務部,一般薪資,900000,850000,全區,32
2026-08-05,行銷推廣,業務部,社群媒體操作,280000,300000,全區,12
2026-08-10,租金支出,行政部,總部辦公室,200000,200000,北區,80
2026-08-15,IT設備採購,行政部,網通設備更換,180000,200000,北區,80
2026-08-20,差旅費,業務部,大陸市場評估,350000,300000,全區,12
2026-08-25,交際費,業務部,年度夥伴晚宴,120000,100000,全區,12
2026-09-01,薪資費用,研發部,Q3衝刺項目,1380000,1300000,北區,45
2026-09-05,行銷推廣,業務部,秋季上市活動,680000,600000,全區,12
2026-09-10,租金支出,行政部,總部辦公室,200000,200000,北區,80
2026-09-15,教育訓練,人資部,年度績效管理培訓,100000,80000,北區,10
2026-09-20,IT軟體授權,研發部,開發平台續約,160000,150000,北區,45
2026-09-25,差旅費,業務部,亞太峰會參加,420000,350000,全區,12
2026-10-01,薪資費用,財務部,年底稽核外包,420000,350000,北區,18
2026-10-05,行銷推廣,業務部,雙十節大促,750000,700000,全區,12
2026-10-10,租金支出,行政部,總部辦公室,200000,200000,北區,80
2026-10-15,IT設備採購,研發部,年度設備更新,550000,500000,北區,45
2026-10-20,差旅費,業務部,Q4客戶拜訪,150000,150000,全區,12
2026-11-01,薪資費用,業務部,一般薪資,920000,880000,全區,32
2026-11-05,行銷推廣,業務部,年終促銷活動,850000,800000,全區,12
2026-11-10,租金支出,行政部,總部辦公室,200000,200000,北區,80
2026-11-15,教育訓練,人資部,年度訓練總回顧,80000,80000,北區,10
2026-11-20,IT軟體授權,研發部,明年授權預付,200000,180000,北區,45
2026-12-05,薪資費用,研發部,年終獎金與薪資,1500000,1400000,北區,45
2026-12-10,行銷推廣,業務部,跨年品牌大作戰,900000,800000,全區,12
2026-12-15,租金支出,行政部,總部辦公室,200000,200000,北區,80
2026-12-20,差旅費,業務部,年底拜票客戶,180000,150000,全區,12
2026-12-25,IT設備採購,行政部,年度資產汰換,320000,300000,北區,80
2026-12-28,交際費,業務部,年終尾牙活動,250000,200000,全區,32
